CCAA,fecha,casos,IA,UCI,muertes
Andalucía,2020-03-02,12.0,,,
Andalucía,2020-03-03,13.0,0.15,,
Andalucía,2020-03-04,13.0,0.15,1.0,
Andalucía,2020-03-05,12.0,0.14,1.0,0.0
Andalucía,2020-03-06,21.0,0.25,1.0,0.0
Andalucía,2020-03-07,32.0,0.38,1.0,0.0
Andalucía,2020-03-08,43.0,0.51,1.0,0.0
Andalucía,2020-03-09,54.0,0.64,1.0,0.0
Andalucía,2020-03-10,71.0,0.84,1.0,0.0
Andalucía,2020-03-11,90.0,1.07,3.0,0.0
Andalucía,2020-03-12,115.0,1.35,4.0,0.0
Andalucía,2020-03-13,219.0,2.53,8.0,0.0
Andalucía,2020-03-14,269.0,3.83,9.0,2.0
Andalucía,2020-03-15,437.0,5.14,10.0,6.0
Andalucía,2020-03-16,554.0,6.44,11.0,7.0
Andalucía,2020-03-17,683.0,7.97,13.0,11.0
Andalucía,2020-03-18,859.0,10.07,21.0,19.0
Andalucía,2020-03-19,1008.0,11.84,25.0,23.0
Aragón,2020-03-02,0.0,,,
Aragón,2020-03-03,0.0,0.0,,
Aragón,2020-03-04,0.0,0.0,,
Aragón,2020-03-05,1.0,0.08,1.0,0.0
Aragón,2020-03-06,6.0,0.45,1.0,1.0
Aragón,2020-03-07,8.0,0.63,1.0,1.0
Aragón,2020-03-08,11.0,0.81,1.0,1.0
Aragón,2020-03-09,13.0,0.99,1.0,1.0
Aragón,2020-03-10,38.0,2.88,3.0,3.0
Aragón,2020-03-11,45.0,3.41,3.0,4.0
Aragón,2020-03-12,64.0,4.85,3.0,6.0
Aragón,2020-03-13,80.0,6.06,3.0,7.0
Aragón,2020-03-14,80.0,8.44,4.0,7.0
Aragón,2020-03-15,147.0,10.81,6.0,7.0
Aragón,2020-03-16,174.0,13.19,7.0,11.0
Aragón,2020-03-17,207.0,15.69,9.0,12.0
Aragón,2020-03-18,226.0,17.13,9.0,13.0
Aragón,2020-03-19,281.0,21.22,14.0,15.0
Asturias,2020-03-02,1.0,,,
Asturias,2020-03-03,1.0,0.1,,
Asturias,2020-03-04,2.0,0.2,1.0,
Asturias,2020-03-05,5.0,0.49,2.0,0.0
Asturias,2020-03-06,5.0,0.49,2.0,0.0
Asturias,2020-03-07,6.0,0.55,2.0,0.0
Asturias,2020-03-08,6.0,0.62,2.0,0.0
Asturias,2020-03-09,7.0,0.68,2.0,0.0
Asturias,2020-03-10,22.0,2.15,2.0,0.0
Asturias,2020-03-11,32.0,3.13,2.0,0.0
Asturias,2020-03-12,47.0,4.6,2.0,1.0
Asturias,2020-03-13,67.0,6.55,2.0,1.0
Asturias,2020-03-14,92.0,10.1,2.0,1.0
Asturias,2020-03-15,137.0,13.66,3.0,1.0
Asturias,2020-03-16,177.0,17.21,3.0,1.0
Asturias,2020-03-17,193.0,18.77,5.0,1.0
Asturias,2020-03-18,242.0,23.46,5.0,1.0
Asturias,2020-03-19,292.0,28.06,6.0,1.0
Baleares,2020-03-02,2.0,,,
Baleares,2020-03-03,2.0,0.17,,
Baleares,2020-03-04,5.0,0.43,,
Baleares,2020-03-05,6.0,0.52,0.0,0.0
Baleares,2020-03-06,6.0,0.52,0.0,0.0
Baleares,2020-03-07,8.0,0.67,0.0,0.0
Baleares,2020-03-08,9.0,0.81,0.0,0.0
Baleares,2020-03-09,11.0,0.96,0.0,0.0
Baleares,2020-03-10,13.0,1.13,1.0,0.0
Baleares,2020-03-11,16.0,1.39,1.0,0.0
Baleares,2020-03-12,22.0,1.83,2.0,1.0
Baleares,2020-03-13,30.0,2.52,2.0,1.0
Baleares,2020-03-14,28.0,3.74,3.0,1.0
Baleares,2020-03-15,28.0,4.96,3.0,1.0
Baleares,2020-03-16,73.0,6.18,4.0,1.0
Baleares,2020-03-17,92.0,7.83,4.0,1.0
Baleares,2020-03-18,112.0,9.31,4.0,1.0
Baleares,2020-03-19,169.0,14.18,7.0,2.0
CValenciana,2020-03-02,15.0,,,
CValenciana,2020-03-03,15.0,0.3,,
CValenciana,2020-03-04,19.0,0.38,,
CValenciana,2020-03-05,19.0,0.38,0.0,1.0
CValenciana,2020-03-06,30.0,0.6,1.0,1.0
CValenciana,2020-03-07,32.0,0.65,1.0,1.0
CValenciana,2020-03-08,35.0,0.69,1.0,1.0
CValenciana,2020-03-09,37.0,0.74,1.0,1.0
CValenciana,2020-03-10,50.0,1.0,1.0,1.0
CValenciana,2020-03-11,65.0,1.28,1.0,1.0
CValenciana,2020-03-12,76.0,1.48,2.0,1.0
CValenciana,2020-03-13,94.0,1.72,2.0,1.0
CValenciana,2020-03-14,130.0,3.77,3.0,4.0
CValenciana,2020-03-15,409.0,5.82,3.0,5.0
CValenciana,2020-03-16,409.0,7.87,4.0,5.0
CValenciana,2020-03-17,541.0,10.51,27.0,13.0
CValenciana,2020-03-18,726.0,14.13,40.0,22.0
CValenciana,2020-03-19,921.0,18.03,52.0,24.0
Canarias,2020-03-02,7.0,,,
Canarias,2020-03-03,7.0,0.33,,
Canarias,2020-03-04,7.0,0.33,,
Canarias,2020-03-05,8.0,0.37,0.0,0.0
Canarias,2020-03-06,11.0,0.51,0.0,0.0
Canarias,2020-03-07,15.0,0.68,0.0,0.0
Canarias,2020-03-08,18.0,0.85,0.0,0.0
Canarias,2020-03-09,22.0,1.02,0.0,0.0
Canarias,2020-03-10,25.0,1.16,1.0,0.0
Canarias,2020-03-11,37.0,1.49,1.0,0.0
Canarias,2020-03-12,51.0,2.09,3.0,0.0
Canarias,2020-03-13,70.0,2.97,2.0,0.0
Canarias,2020-03-14,90.0,3.71,4.0,1.0
Canarias,2020-03-15,109.0,4.46,7.0,1.0
Canarias,2020-03-16,119.0,5.2,9.0,1.0
Canarias,2020-03-17,148.0,6.55,13.0,2.0
Canarias,2020-03-18,181.0,8.08,17.0,3.0
Canarias,2020-03-19,220.0,9.84,23.0,3.0
Cantabria,2020-03-02,10.0,,,
Cantabria,2020-03-03,10.0,1.72,,
Cantabria,2020-03-04,10.0,1.72,,
Cantabria,2020-03-05,10.0,1.72,0.0,0.0
Cantabria,2020-03-06,10.0,1.72,0.0,0.0
Cantabria,2020-03-07,11.0,1.84,0.0,0.0
Cantabria,2020-03-08,11.0,1.95,0.0,0.0
Cantabria,2020-03-09,12.0,2.07,0.0,0.0
Cantabria,2020-03-10,12.0,2.07,0.0,0.0
Cantabria,2020-03-11,12.0,2.07,0.0,0.0
Cantabria,2020-03-12,16.0,2.75,0.0,0.0
Cantabria,2020-03-13,29.0,4.99,0.0,0.0
Cantabria,2020-03-14,31.0,6.08,1.0,0.0
Cantabria,2020-03-15,51.0,7.17,1.0,0.0
Cantabria,2020-03-16,58.0,8.26,2.0,0.0
Cantabria,2020-03-17,58.0,8.26,2.0,0.0
Cantabria,2020-03-18,68.0,9.98,3.0,1.0
Cantabria,2020-03-19,83.0,12.56,4.0,1.0
CastillaLaMancha,2020-03-02,3.0,,,
CastillaLaMancha,2020-03-03,7.0,0.34,,
CastillaLaMancha,2020-03-04,12.0,0.59,1.0,
CastillaLaMancha,2020-03-05,13.0,0.64,1.0,0.0
CastillaLaMancha,2020-03-06,15.0,0.74,1.0,0.0
CastillaLaMancha,2020-03-07,19.0,0.92,1.0,0.0
CastillaLaMancha,2020-03-08,22.0,1.1,2.0,0.0
CastillaLaMancha,2020-03-09,26.0,1.28,2.0,0.0
CastillaLaMancha,2020-03-10,39.0,1.92,2.0,0.0
CastillaLaMancha,2020-03-11,71.0,3.49,5.0,0.0
CastillaLaMancha,2020-03-12,115.0,5.66,9.0,1.0
CastillaLaMancha,2020-03-13,194.0,9.54,10.0,5.0
CastillaLaMancha,2020-03-14,289.0,15.61,14.0,6.0
CastillaLaMancha,2020-03-15,401.0,21.67,19.0,10.0
CastillaLaMancha,2020-03-16,567.0,27.74,23.0,17.0
CastillaLaMancha,2020-03-17,567.0,27.55,23.0,17.0
CastillaLaMancha,2020-03-18,675.0,32.61,29.0,28.0
CastillaLaMancha,2020-03-19,801.0,38.76,37.0,42.0
CastillayLeón,2020-03-02,3.0,,,
CastillayLeón,2020-03-03,8.0,0.33,,
CastillayLeón,2020-03-04,11.0,0.46,1.0,
CastillayLeón,2020-03-05,11.0,0.46,1.0,0.0
CastillayLeón,2020-03-06,14.0,0.58,1.0,0.0
CastillayLeón,2020-03-07,17.0,0.71,1.0,0.0
CastillayLeón,2020-03-08,20.0,0.83,1.0,0.0
CastillayLeón,2020-03-09,23.0,0.96,1.0,0.0
CastillayLeón,2020-03-10,56.0,2.33,2.0,0.0
CastillayLeón,2020-03-11,71.0,2.96,2.0,0.0
CastillayLeón,2020-03-12,92.0,3.83,4.0,0.0
CastillayLeón,2020-03-13,169.0,6.96,8.0,1.0
CastillayLeón,2020-03-14,223.0,9.24,13.0,3.0
CastillayLeón,2020-03-15,292.0,11.51,19.0,6.0
CastillayLeón,2020-03-16,334.0,13.79,24.0,9.0
CastillayLeón,2020-03-17,431.0,17.63,24.0,12.0
CastillayLeón,2020-03-18,668.0,27.38,43.0,22.0
CastillayLeón,2020-03-19,868.0,35.72,54.0,29.0
Cataluña,2020-03-02,15.0,,,
Cataluña,2020-03-03,15.0,0.2,,
Cataluña,2020-03-04,15.0,0.2,,
Cataluña,2020-03-05,24.0,0.31,0.0,0.0
Cataluña,2020-03-06,24.0,0.31,0.0,0.0
Cataluña,2020-03-07,41.0,0.53,0.0,0.0
Cataluña,2020-03-08,58.0,0.76,0.0,1.0
Cataluña,2020-03-09,75.0,0.98,0.0,1.0
Cataluña,2020-03-10,124.0,1.62,0.0,3.0
Cataluña,2020-03-11,156.0,2.02,0.0,3.0
Cataluña,2020-03-12,260.0,3.36,0.0,4.0
Cataluña,2020-03-13,316.0,4.08,25.0,4.0
Cataluña,2020-03-14,509.0,6.58,28.0,6.0
Cataluña,2020-03-15,715.0,9.07,30.0,8.0
Cataluña,2020-03-16,903.0,11.57,33.0,12.0
Cataluña,2020-03-17,1394.0,17.97,33.0,18.0
Cataluña,2020-03-18,1866.0,24.12,33.0,41.0
Cataluña,2020-03-19,2702.0,34.89,33.0,55.0
Ceuta,2020-03-02,0.0,,,
Ceuta,2020-03-03,0.0,0.0,,
Ceuta,2020-03-04,0.0,0.0,,
Ceuta,2020-03-05,0.0,0.0,0.0,0.0
Ceuta,2020-03-06,0.0,0.0,0.0,0.0
Ceuta,2020-03-07,0.0,0.0,0.0,0.0
Ceuta,2020-03-08,0.0,0.0,0.0,0.0
Ceuta,2020-03-09,0.0,0.0,0.0,0.0
Ceuta,2020-03-10,0.0,0.0,0.0,0.0
Ceuta,2020-03-11,0.0,0.0,0.0,0.0
Ceuta,2020-03-12,0.0,0.0,0.0,0.0
Ceuta,2020-03-13,0.0,0.0,0.0,0.0
Ceuta,2020-03-14,0.0,0.39,0.0,0.0
Ceuta,2020-03-15,1.0,0.79,0.0,0.0
Ceuta,2020-03-16,1.0,1.18,0.0,0.0
Ceuta,2020-03-17,1.0,1.18,0.0,0.0
Ceuta,2020-03-18,1.0,1.18,0.0,0.0
Ceuta,2020-03-19,1.0,1.18,0.0,0.0
Extremadura,2020-03-02,6.0,,,
Extremadura,2020-03-03,6.0,0.56,,
Extremadura,2020-03-04,6.0,0.56,,
Extremadura,2020-03-05,6.0,0.56,0.0,0.0
Extremadura,2020-03-06,6.0,0.56,0.0,0.0
Extremadura,2020-03-07,6.0,0.59,0.0,0.0
Extremadura,2020-03-08,7.0,0.63,0.0,0.0
Extremadura,2020-03-09,7.0,0.66,0.0,0.0
Extremadura,2020-03-10,8.0,0.75,0.0,0.0
Extremadura,2020-03-11,9.0,0.84,1.0,0.0
Extremadura,2020-03-12,19.0,1.78,1.0,1.0
Extremadura,2020-03-13,39.0,3.65,1.0,1.0
Extremadura,2020-03-14,66.0,5.71,1.0,2.0
Extremadura,2020-03-15,95.0,7.77,1.0,2.0
Extremadura,2020-03-16,111.0,9.83,1.0,2.0
Extremadura,2020-03-17,153.0,13.77,2.0,3.0
Extremadura,2020-03-18,194.0,17.61,3.0,6.0
Extremadura,2020-03-19,241.0,22.01,3.0,8.0
Galicia,2020-03-02,0.0,,,
Galicia,2020-03-03,0.0,0.0,,
Galicia,2020-03-04,1.0,0.04,,
Galicia,2020-03-05,1.0,0.04,0.0,0.0
Galicia,2020-03-06,3.0,0.11,0.0,0.0
Galicia,2020-03-07,4.0,0.15,0.0,0.0
Galicia,2020-03-08,5.0,0.18,0.0,0.0
Galicia,2020-03-09,6.0,0.22,0.0,0.0
Galicia,2020-03-10,22.0,0.81,2.0,0.0
Galicia,2020-03-11,39.0,1.44,2.0,0.0
Galicia,2020-03-12,35.0,1.3,2.0,0.0
Galicia,2020-03-13,85.0,3.15,2.0,0.0
Galicia,2020-03-14,115.0,5.13,4.0,0.0
Galicia,2020-03-15,195.0,7.1,7.0,2.0
Galicia,2020-03-16,245.0,9.08,9.0,2.0
Galicia,2020-03-17,292.0,10.82,9.0,3.0
Galicia,2020-03-18,341.0,12.59,12.0,3.0
Galicia,2020-03-19,453.0,16.74,15.0,4.0
LaRioja,2020-03-02,1.0,,,
LaRioja,2020-03-03,3.0,0.95,,
LaRioja,2020-03-04,7.0,2.21,,
LaRioja,2020-03-05,11.0,3.47,0.0,0.0
LaRioja,2020-03-06,29.0,9.15,0.0,0.0
LaRioja,2020-03-07,46.0,14.62,0.0,0.0
LaRioja,2020-03-08,64.0,20.1,1.0,0.0
LaRioja,2020-03-09,81.0,25.57,1.0,0.0
LaRioja,2020-03-10,144.0,45.45,1.0,1.0
LaRioja,2020-03-11,179.0,56.5,1.0,2.0
LaRioja,2020-03-12,205.0,64.71,1.0,2.0
LaRioja,2020-03-13,243.0,76.71,2.0,2.0
LaRioja,2020-03-14,278.0,83.86,6.0,3.0
LaRioja,2020-03-15,300.0,91.02,9.0,3.0
LaRioja,2020-03-16,312.0,98.17,13.0,4.0
LaRioja,2020-03-17,355.0,111.11,13.0,5.0
LaRioja,2020-03-18,419.0,130.05,13.0,5.0
LaRioja,2020-03-19,468.0,144.26,15.0,5.0
Madrid,2020-03-02,29.0,,,
Madrid,2020-03-03,49.0,0.74,,
Madrid,2020-03-04,70.0,1.05,2.0,
Madrid,2020-03-05,90.0,1.35,2.0,1.0
Madrid,2020-03-06,137.0,2.06,2.0,2.0
Madrid,2020-03-07,248.0,3.72,19.0,4.0
Madrid,2020-03-08,358.0,5.38,36.0,6.0
Madrid,2020-03-09,469.0,7.04,53.0,8.0
Madrid,2020-03-10,782.0,11.74,77.0,21.0
Madrid,2020-03-11,1024.0,15.34,102.0,31.0
Madrid,2020-03-12,1388.0,20.77,135.0,56.0
Madrid,2020-03-13,1990.0,29.79,180.0,81.0
Madrid,2020-03-14,2940.0,40.55,204.0,86.0
Madrid,2020-03-15,3544.0,51.31,229.0,213.0
Madrid,2020-03-16,4165.0,62.07,253.0,213.0
Madrid,2020-03-17,4871.0,72.37,340.0,355.0
Madrid,2020-03-18,5637.0,83.55,491.0,390.0
Madrid,2020-03-19,6777.0,100.35,590.0,498.0
Melilla,2020-03-02,0.0,,,
Melilla,2020-03-03,0.0,0.0,,
Melilla,2020-03-04,0.0,0.0,,
Melilla,2020-03-05,0.0,0.0,0.0,0.0
Melilla,2020-03-06,0.0,0.0,0.0,0.0
Melilla,2020-03-07,0.0,0.0,0.0,0.0
Melilla,2020-03-08,0.0,0.0,0.0,0.0
Melilla,2020-03-09,0.0,0.0,0.0,0.0
Melilla,2020-03-10,0.0,0.0,0.0,0.0
Melilla,2020-03-11,0.0,0.0,0.0,0.0
Melilla,2020-03-12,0.0,0.0,0.0,0.0
Melilla,2020-03-13,2.0,2.31,0.0,0.0
Melilla,2020-03-14,3.0,4.62,0.0,0.0
Melilla,2020-03-15,8.0,6.94,0.0,0.0
Melilla,2020-03-16,8.0,9.25,0.0,0.0
Melilla,2020-03-17,17.0,19.66,0.0,0.0
Melilla,2020-03-18,20.0,23.12,0.0,0.0
Melilla,2020-03-19,23.0,26.59,0.0,0.0
Murcia,2020-03-02,0.0,,,
Murcia,2020-03-03,0.0,0.0,,
Murcia,2020-03-04,0.0,0.0,,
Murcia,2020-03-05,0.0,0.0,0.0,0.0
Murcia,2020-03-06,0.0,0.0,0.0,0.0
Murcia,2020-03-07,1.0,0.09,0.0,0.0
Murcia,2020-03-08,3.0,0.18,0.0,0.0
Murcia,2020-03-09,4.0,0.27,0.0,0.0
Murcia,2020-03-10,9.0,0.6,0.0,0.0
Murcia,2020-03-11,11.0,0.74,0.0,0.0
Murcia,2020-03-12,26.0,1.74,1.0,0.0
Murcia,2020-03-13,35.0,2.34,1.0,0.0
Murcia,2020-03-14,47.0,3.28,1.0,0.0
Murcia,2020-03-15,71.0,4.21,2.0,0.0
Murcia,2020-03-16,77.0,5.15,2.0,0.0
Murcia,2020-03-17,97.0,6.49,3.0,0.0
Murcia,2020-03-18,122.0,8.17,4.0,0.0
Murcia,2020-03-19,167.0,11.18,6.0,0.0
Navarra,2020-03-02,1.0,,,
Navarra,2020-03-03,1.0,0.15,,
Navarra,2020-03-04,3.0,0.46,1.0,
Navarra,2020-03-05,3.0,0.46,1.0,0.0
Navarra,2020-03-06,3.0,0.46,1.0,0.0
Navarra,2020-03-07,3.0,0.46,1.0,0.0
Navarra,2020-03-08,3.0,0.46,1.0,0.0
Navarra,2020-03-09,3.0,0.46,1.0,0.0
Navarra,2020-03-10,12.0,1.83,2.0,0.0
Navarra,2020-03-11,46.0,7.03,3.0,0.0
Navarra,2020-03-12,73.0,11.16,3.0,0.0
Navarra,2020-03-13,130.0,19.87,4.0,0.0
Navarra,2020-03-14,146.0,27.16,4.0,0.0
Navarra,2020-03-15,183.0,34.44,5.0,0.0
Navarra,2020-03-16,274.0,41.73,5.0,1.0
Navarra,2020-03-17,313.0,47.69,10.0,2.0
Navarra,2020-03-18,386.0,58.54,10.0,3.0
Navarra,2020-03-19,482.0,73.22,11.0,4.0
PaísVasco,2020-03-02,9.0,,,
PaísVasco,2020-03-03,13.0,0.59,,
PaísVasco,2020-03-04,17.0,0.77,,
PaísVasco,2020-03-05,17.0,0.77,0.0,1.0
PaísVasco,2020-03-06,45.0,2.04,1.0,1.0
PaísVasco,2020-03-07,80.0,3.61,2.0,2.0
PaísVasco,2020-03-08,114.0,5.18,4.0,4.0
PaísVasco,2020-03-09,149.0,6.75,5.0,5.0
PaísVasco,2020-03-10,195.0,8.83,5.0,6.0
PaísVasco,2020-03-11,225.0,10.19,15.0,6.0
PaísVasco,2020-03-12,346.0,15.67,18.0,11.0
PaísVasco,2020-03-13,417.0,18.89,20.0,14.0
PaísVasco,2020-03-14,417.0,21.97,23.0,14.0
PaísVasco,2020-03-15,630.0,25.05,26.0,23.0
PaísVasco,2020-03-16,630.0,28.13,29.0,23.0
PaísVasco,2020-03-17,765.0,34.06,33.0,36.0
PaísVasco,2020-03-18,973.0,43.3,37.0,40.0
PaísVasco,2020-03-19,1190.0,53.13,44.0,53.0
